datesold,coded date,price,bedrooms,postcode
05/12/2007 00:00,0,825000,3,2600
08/09/2008 00:00,1,740000,3,2600
17/09/2008 00:00,2,720000,3,2600
18/11/2008 00:00,3,635000,3,2600
18/11/2008 00:00,4,950000,3,2600
21/11/2008 00:00,5,730000,3,2600
22/12/2008 00:00,6,855000,3,2600
22/01/2009 00:00,7,575000,3,2600
31/03/2009 00:00,8,610000,3,2600
08/05/2009 00:00,9,675000,3,2600
01/07/2009 00:00,10,760000,3,2600
22/09/2009 00:00,11,900000,3,2600
10/10/2009 00:00,12,812000,3,2600
12/10/2009 00:00,13,735000,3,2600
02/12/2009 00:00,14,1340000,3,2600
29/01/2010 00:00,15,825000,3,2600
14/05/2010 00:00,16,790000,3,2600
21/05/2010 00:00,17,965000,3,2600
07/07/2010 00:00,18,831000,3,2600
10/09/2010 00:00,19,965000,3,2600
15/09/2010 00:00,20,765000,3,2600
25/09/2010 00:00,21,830000,3,2600
30/10/2010 00:00,22,1000000,3,2600
13/12/2010 00:00,23,940000,3,2600
16/12/2010 00:00,24,789000,3,2600
19/02/2011 00:00,25,990000,3,2600
08/04/2011 00:00,26,1455000,3,2600
23/06/2011 00:00,27,860000,3,2600
29/06/2011 00:00,28,883500,3,2600
09/08/2011 00:00,29,730000,3,2600
17/08/2011 00:00,30,882500,3,2600
31/08/2011 00:00,31,930000,3,2600
19/09/2011 00:00,32,720000,3,2600
07/11/2011 00:00,33,900000,3,2600
17/11/2011 00:00,34,1000000,3,2600
30/11/2011 00:00,35,1200000,3,2600
05/12/2011 00:00,36,685000,3,2600
20/12/2011 00:00,37,757000,3,2600
21/02/2012 00:00,38,690000,3,2600
23/04/2012 00:00,39,800000,3,2600
21/05/2012 00:00,40,845000,3,2600
24/08/2012 00:00,41,610000,3,2600
31/08/2012 00:00,42,651000,3,2600
17/09/2012 00:00,43,818000,3,2600
22/09/2012 00:00,44,1605000,3,2600
08/12/2012 00:00,45,735000,3,2600
10/12/2012 00:00,46,590000,3,2600
11/12/2012 00:00,47,602000,3,2600
